source,dataset,severity,seed,status,validation_passed,achieved_rate,excluded_columns
cleanml,Airbnb,0.05,1,OK,False,"{'Bathrooms': 0.05087983911513323, 'Bedrooms': 0.052187028657616895, 'Beds': 0.049974861739567625, 'NumGuests': 0.05037707390648567, 'NumReviews': 0.0489693313222725, 'Price': 0.050980392156862744, 'latitude': 0.04906988436400201, 'longitude': 0.04725992961287079, 'pop2016': 0.052187028657616895, 'pop2010': 0.0481649069884364, 'pop2000': 0.05289089994972348, 'cost_living_index (US avg. = 100)': 0.04504776269482152, 'land_area (sq.mi.)': 0.04846656611362494, 'water_area (sq.mi.)': 0.050477626948215185, 'pop_density (people per mile)': 0.04987430869783811, 'number of males': 0.048868778280542986, 'number of females': 0.05027652086475616, 'prop taxes paid 2016': 0.05067873303167421, 'median taxes (with mortgage': 0.05258924082453494, 'median taxes (no mortgage)': 0.046053293112116644, 'median house value': 0.05429864253393665, 'median houshold income': 0.05037707390648567, 'median monthly owner costs (with mortgage)': 0.049773755656108594, 'median monthly owner costs (no mortgage)': 0.05037707390648567, 'median gross rent': 0.05118149824032177, 'median asking price for vacant for-sale home/condo': 0.05067873303167421, 'unemployment (%)': 0.0416289592760181, 'Number of Homes': 0.05198592257415787, 'Count of Abnb': 0.04846656611362494, 'Density of Abnb (%)': 0.05460030165912519, 'Average Abnb Price (by zipcode)': 0.04786324786324787, 'Average NumReviews (by zipcode)': 0.05037707390648567, 'Average Rating (by zipcode)': 0.05248868778280543, 'Average Number of Bathrooms (by zipcode)': 0.05037707390648567, 'Average Number of Bedrooms (by zipcode)': 0.049974861739567625, 'Average Number of Beds (by zipcode)': 0.05188536953242836, 'Average Number of Guests (by zipcode)': 0.05007541478129714}",
cleanml,Airbnb,0.05,2,OK,True,"{'Bathrooms': 0.04856711915535445, 'Bedrooms': 0.04917043740573152, 'Beds': 0.05027652086475616, 'NumGuests': 0.04695827048768225, 'NumReviews': 0.054399195575666165, 'Price': 0.05349421820010055, 'latitude': 0.05339366515837104, 'longitude': 0.0457516339869281, 'pop2016': 0.0505781799899447, 'pop2010': 0.04675716440422323, 'pop2000': 0.04846656611362494, 'cost_living_index (US avg. = 100)': 0.053293112116641526, 'land_area (sq.mi.)': 0.04776269482151835, 'water_area (sq.mi.)': 0.04555052790346908, 'pop_density (people per mile)': 0.05027652086475616, 'number of males': 0.051483157365510304, 'number of females': 0.048265460030165915, 'prop taxes paid 2016': 0.05460030165912519, 'median taxes (with mortgage': 0.049974861739567625, 'median taxes (no mortgage)': 0.051583710407239816, 'median house value': 0.048868778280542986, 'median houshold income': 0.05178481649069885, 'median monthly owner costs (with mortgage)': 0.051483157365510304, 'median monthly owner costs (no mortgage)': 0.048768225238813474, 'median gross rent': 0.0505781799899447, 'median asking price for vacant for-sale home/condo': 0.04957264957264957, 'unemployment (%)': 0.05087983911513323, 'Number of Homes': 0.046053293112116644, 'Count of Abnb': 0.05087983911513323, 'Density of Abnb (%)': 0.049974861739567625, 'Average Abnb Price (by zipcode)': 0.04906988436400201, 'Average NumReviews (by zipcode)': 0.04806435394670689, 'Average Rating (by zipcode)': 0.0530920060331825, 'Average Number of Bathrooms (by zipcode)': 0.049270990447461034, 'Average Number of Bedrooms (by zipcode)': 0.05178481649069885, 'Average Number of Beds (by zipcode)': 0.05027652086475616, 'Average Number of Guests (by zipcode)': 0.051080945198592256}",
cleanml,Airbnb,0.05,3,OK,True,"{'Bathrooms': 0.05590749120160885, 'Bedrooms': 0.0473604826546003, 'Beds': 0.05077928607340372, 'NumGuests': 0.05299145299145299, 'NumReviews': 0.05168426344896933, 'Price': 0.05198592257415787, 'latitude': 0.049974861739567625, 'longitude': 0.05037707390648567, 'pop2016': 0.04514831573655103, 'pop2010': 0.05077928607340372, 'pop2000': 0.04866767219708396, 'cost_living_index (US avg. = 100)': 0.04846656611362494, 'land_area (sq.mi.)': 0.0489693313222725, 'water_area (sq.mi.)': 0.049371543489190546, 'pop_density (people per mile)': 0.05339366515837104, 'number of males': 0.0481649069884364, 'number of females': 0.049270990447461034, 'prop taxes paid 2016': 0.051080945198592256, 'median taxes (with mortgage': 0.0505781799899447, 'median taxes (no mortgage)': 0.053192559074912014, 'median house value': 0.04987430869783811, 'median houshold income': 0.046656611362493716, 'median monthly owner costs (with mortgage)': 0.048265460030165915, 'median monthly owner costs (no mortgage)': 0.05118149824032177, 'median gross rent': 0.047662141779788836, 'median asking price for vacant for-sale home/condo': 0.048265460030165915, 'unemployment (%)': 0.0457516339869281, 'Number of Homes': 0.05077928607340372, 'Count of Abnb': 0.051080945198592256, 'Density of Abnb (%)': 0.049270990447461034, 'Average Abnb Price (by zipcode)': 0.05258924082453494, 'Average NumReviews (by zipcode)': 0.04786324786324787, 'Average Rating (by zipcode)': 0.05128205128205128, 'Average Number of Bathrooms (by zipcode)': 0.05128205128205128, 'Average Number of Bedrooms (by zipcode)': 0.051483157365510304, 'Average Number of Beds (by zipcode)': 0.0489693313222725, 'Average Number of Guests (by zipcode)': 0.04947209653092006}",
cleanml,Airbnb,0.1,1,OK,True,"{'Bathrooms': 0.10055304172951232, 'Bedrooms': 0.10095525389643037, 'Beds': 0.09763700351935646, 'NumGuests': 0.10015082956259427, 'NumReviews': 0.10256410256410256, 'Price': 0.09874308697838109, 'latitude': 0.09964806435394671, 'longitude': 0.09914529914529914, 'pop2016': 0.09673202614379085, 'pop2010': 0.09783810960281548, 'pop2000': 0.10175967823026646, 'cost_living_index (US avg. = 100)': 0.09502262443438914, 'land_area (sq.mi.)': 0.09854198089492207, 'water_area (sq.mi.)': 0.09743589743589744, 'pop_density (people per mile)': 0.09924585218702865, 'number of males': 0.09994972347913525, 'number of females': 0.09824032176973353, 'prop taxes paid 2016': 0.09984917043740574, 'median taxes (with mortgage': 0.10266465560583207, 'median taxes (no mortgage)': 0.09753645047762695, 'median house value': 0.10196078431372549, 'median houshold income': 0.10256410256410256, 'median monthly owner costs (with mortgage)': 0.102061337355455, 'median monthly owner costs (no mortgage)': 0.09954751131221719, 'median gross rent': 0.10015082956259427, 'median asking price for vacant for-sale home/condo': 0.10336852689793866, 'unemployment (%)': 0.09039718451483157, 'Number of Homes': 0.10105580693815988, 'Count of Abnb': 0.10387129210658623, 'Density of Abnb (%)': 0.10457516339869281, 'Average Abnb Price (by zipcode)': 0.09270990447461036, 'Average NumReviews (by zipcode)': 0.10216189039718451, 'Average Rating (by zipcode)': 0.097938662644545, 'Average Number of Bathrooms (by zipcode)': 0.10326797385620914, 'Average Number of Bedrooms (by zipcode)': 0.10085470085470086, 'Average Number of Beds (by zipcode)': 0.10165912518853695, 'Average Number of Guests (by zipcode)': 0.10085470085470086}",
cleanml,Airbnb,0.1,2,OK,True,"{'Bathrooms': 0.10407239819004525, 'Bedrooms': 0.10165912518853695, 'Beds': 0.10165912518853695, 'NumGuests': 0.09994972347913525, 'NumReviews': 0.10196078431372549, 'Price': 0.10336852689793866, 'latitude': 0.10075414781297135, 'longitude': 0.09703368526897939, 'pop2016': 0.10105580693815988, 'pop2010': 0.09612870789341378, 'pop2000': 0.09532428355957767, 'cost_living_index (US avg. = 100)': 0.10316742081447963, 'land_area (sq.mi.)': 0.09954751131221719, 'water_area (sq.mi.)': 0.09421820010055304, 'pop_density (people per mile)': 0.10055304172951232, 'number of males': 0.102061337355455, 'number of females': 0.09783810960281548, 'prop taxes paid 2016': 0.1028657616892911, 'median taxes (with mortgage': 0.09944695827048768, 'median taxes (no mortgage)': 0.10407239819004525, 'median house value': 0.09854198089492207, 'median houshold income': 0.09964806435394671, 'median monthly owner costs (with mortgage)': 0.10186023127199598, 'median monthly owner costs (no mortgage)': 0.09994972347913525, 'median gross rent': 0.09914529914529914, 'median asking price for vacant for-sale home/condo': 0.09723479135243841, 'unemployment (%)': 0.09934640522875816, 'Number of Homes': 0.09602815485168427, 'Count of Abnb': 0.09864253393665158, 'Density of Abnb (%)': 0.09834087481146304, 'Average Abnb Price (by zipcode)': 0.09844142785319256, 'Average NumReviews (by zipcode)': 0.09773755656108597, 'Average Rating (by zipcode)': 0.10045248868778281, 'Average Number of Bathrooms (by zipcode)': 0.09934640522875816, 'Average Number of Bedrooms (by zipcode)': 0.10175967823026646, 'Average Number of Beds (by zipcode)': 0.10075414781297135, 'Average Number of Guests (by zipcode)': 0.09964806435394671}",
cleanml,Airbnb,0.1,3,OK,True,"{'Bathrooms': 0.10829562594268477, 'Bedrooms': 0.0963298139768728, 'Beds': 0.09874308697838109, 'NumGuests': 0.10336852689793866, 'NumReviews': 0.1085972850678733, 'Price': 0.10276520864756158, 'latitude': 0.10155857214680744, 'longitude': 0.09954751131221719, 'pop2016': 0.0955253896430367, 'pop2010': 0.10457516339869281, 'pop2000': 0.09200603318250378, 'cost_living_index (US avg. = 100)': 0.09643036701860232, 'land_area (sq.mi.)': 0.09733534439416792, 'water_area (sq.mi.)': 0.09894419306184012, 'pop_density (people per mile)': 0.09984917043740574, 'number of males': 0.10276520864756158, 'number of females': 0.09331322272498743, 'prop taxes paid 2016': 0.10608345902463549, 'median taxes (with mortgage': 0.10165912518853695, 'median taxes (no mortgage)': 0.09813976872800402, 'median house value': 0.09451985922574158, 'median houshold income': 0.09421820010055304, 'median monthly owner costs (with mortgage)': 0.09954751131221719, 'median monthly owner costs (no mortgage)': 0.09984917043740574, 'median gross rent': 0.10005027652086476, 'median asking price for vacant for-sale home/condo': 0.09813976872800402, 'unemployment (%)': 0.09562594268476621, 'Number of Homes': 0.0988436400201106, 'Count of Abnb': 0.10165912518853695, 'Density of Abnb (%)': 0.10135746606334842, 'Average Abnb Price (by zipcode)': 0.1052790346907994, 'Average NumReviews (by zipcode)': 0.09763700351935646, 'Average Rating (by zipcode)': 0.10346907993966817, 'Average Number of Bathrooms (by zipcode)': 0.10236299648064354, 'Average Number of Bedrooms (by zipcode)': 0.10216189039718451, 'Average Number of Beds (by zipcode)': 0.09924585218702865, 'Average Number of Guests (by zipcode)': 0.09894419306184012}",
cleanml,Airbnb,0.15,1,OK,True,"{'Bathrooms': 0.15153343388637505, 'Bedrooms': 0.15354449472096532, 'Beds': 0.1461035696329814, 'NumGuests': 0.14821518350930116, 'NumReviews': 0.15233785822021115, 'Price': 0.14982403217697335, 'latitude': 0.15223730517848164, 'longitude': 0.1477124183006536, 'pop2016': 0.147008547008547, 'pop2010': 0.14871794871794872, 'pop2000': 0.15173453996983408, 'cost_living_index (US avg. = 100)': 0.1437908496732026, 'land_area (sq.mi.)': 0.14731020613373555, 'water_area (sq.mi.)': 0.14901960784313725, 'pop_density (people per mile)': 0.14660633484162897, 'number of males': 0.15052790346907993, 'number of females': 0.14258421317244846, 'prop taxes paid 2016': 0.1542483660130719, 'median taxes (with mortgage': 0.15294117647058825, 'median taxes (no mortgage)': 0.15042735042735042, 'median house value': 0.1524384112619407, 'median houshold income': 0.15384615384615385, 'median monthly owner costs (with mortgage)': 0.1567621920563097, 'median monthly owner costs (no mortgage)': 0.14922071392659628, 'median gross rent': 0.1524384112619407, 'median asking price for vacant for-sale home/condo': 0.15294117647058825, 'unemployment (%)': 0.1429864253393665, 'Number of Homes': 0.14710910005027653, 'Count of Abnb': 0.15696329813976873, 'Density of Abnb (%)': 0.15465057817998995, 'Average Abnb Price (by zipcode)': 0.13976872800402212, 'Average NumReviews (by zipcode)': 0.15233785822021115, 'Average Rating (by zipcode)': 0.15042735042735042, 'Average Number of Bathrooms (by zipcode)': 0.15354449472096532, 'Average Number of Bedrooms (by zipcode)': 0.15093011563599798, 'Average Number of Beds (by zipcode)': 0.1534439416792358, 'Average Number of Guests (by zipcode)': 0.14751131221719457}",
cleanml,Airbnb,0.15,2,OK,True,"{'Bathrooms': 0.1551533433886375, 'Bedrooms': 0.14972347913524384, 'Beds': 0.15143288084464554, 'NumGuests': 0.14831573655103067, 'NumReviews': 0.15294117647058825, 'Price': 0.15465057817998995, 'latitude': 0.14962292609351432, 'longitude': 0.14419306184012065, 'pop2016': 0.15294117647058825, 'pop2010': 0.14741075917546506, 'pop2000': 0.14871794871794872, 'cost_living_index (US avg. = 100)': 0.1520361990950226, 'land_area (sq.mi.)': 0.1525389643036702, 'water_area (sq.mi.)': 0.14670688788335848, 'pop_density (people per mile)': 0.15012569130216188, 'number of males': 0.1534439416792358, 'number of females': 0.14590246354952238, 'prop taxes paid 2016': 0.1534439416792358, 'median taxes (with mortgage': 0.14982403217697335, 'median taxes (no mortgage)': 0.14982403217697335, 'median house value': 0.1542483660130719, 'median houshold income': 0.14811463046757165, 'median monthly owner costs (with mortgage)': 0.15002513826043237, 'median monthly owner costs (no mortgage)': 0.14972347913524384, 'median gross rent': 0.15072900955253896, 'median asking price for vacant for-sale home/condo': 0.146807440925088, 'unemployment (%)': 0.15324283559577678, 'Number of Homes': 0.14982403217697335, 'Count of Abnb': 0.14580191050779287, 'Density of Abnb (%)': 0.14871794871794872, 'Average Abnb Price (by zipcode)': 0.14720965309200604, 'Average NumReviews (by zipcode)': 0.14761186525892409, 'Average Rating (by zipcode)': 0.15404725992961288, 'Average Number of Bathrooms (by zipcode)': 0.1524384112619407, 'Average Number of Bedrooms (by zipcode)': 0.14922071392659628, 'Average Number of Beds (by zipcode)': 0.16018099547511314, 'Average Number of Guests (by zipcode)': 0.14550025138260433}",
cleanml,Airbnb,0.15,3,OK,True,"{'Bathrooms': 0.15625942684766214, 'Bedrooms': 0.14821518350930116, 'Beds': 0.14761186525892409, 'NumGuests': 0.15434891905480141, 'NumReviews': 0.16018099547511314, 'Price': 0.15324283559577678, 'latitude': 0.1542483660130719, 'longitude': 0.15002513826043237, 'pop2016': 0.14358974358974358, 'pop2010': 0.1558572146807441, 'pop2000': 0.1460030165912519, 'cost_living_index (US avg. = 100)': 0.14358974358974358, 'land_area (sq.mi.)': 0.1494218200100553, 'water_area (sq.mi.)': 0.1494218200100553, 'pop_density (people per mile)': 0.14811463046757165, 'number of males': 0.147008547008547, 'number of females': 0.1486173956762192, 'prop taxes paid 2016': 0.15012569130216188, 'median taxes (with mortgage': 0.14992458521870286, 'median taxes (no mortgage)': 0.1478129713423831, 'median house value': 0.14710910005027653, 'median houshold income': 0.14741075917546506, 'median monthly owner costs (with mortgage)': 0.1568627450980392, 'median monthly owner costs (no mortgage)': 0.14962292609351432, 'median gross rent': 0.1494218200100553, 'median asking price for vacant for-sale home/condo': 0.15082956259426847, 'unemployment (%)': 0.1450980392156863, 'Number of Homes': 0.15062845651080944, 'Count of Abnb': 0.15133232780291603, 'Density of Abnb (%)': 0.15082956259426847, 'Average Abnb Price (by zipcode)': 0.15082956259426847, 'Average NumReviews (by zipcode)': 0.15012569130216188, 'Average Rating (by zipcode)': 0.151131221719457, 'Average Number of Bathrooms (by zipcode)': 0.1477124183006536, 'Average Number of Bedrooms (by zipcode)': 0.1524384112619407, 'Average Number of Beds (by zipcode)': 0.14891905480140774, 'Average Number of Guests (by zipcode)': 0.14901960784313725}",
cleanml,Airbnb,0.2,1,OK,True,"{'Bathrooms': 0.199798893916541, 'Bedrooms': 0.20512820512820512, 'Beds': 0.1968828557063851, 'NumGuests': 0.1951734539969834, 'NumReviews': 0.2008044243338361, 'Price': 0.1968828557063851, 'latitude': 0.19969834087481148, 'longitude': 0.19959778783308196, 'pop2016': 0.2007038712921066, 'pop2010': 0.1959778783308195, 'pop2000': 0.2042232277526395, 'cost_living_index (US avg. = 100)': 0.19306184012066366, 'land_area (sq.mi.)': 0.19557566616390146, 'water_area (sq.mi.)': 0.20553041729512317, 'pop_density (people per mile)': 0.199798893916541, 'number of males': 0.199798893916541, 'number of females': 0.1950729009552539, 'prop taxes paid 2016': 0.20542986425339366, 'median taxes (with mortgage': 0.20110608345902464, 'median taxes (no mortgage)': 0.19698340874811462, 'median house value': 0.2033182503770739, 'median houshold income': 0.20120663650075415, 'median monthly owner costs (with mortgage)': 0.20683760683760682, 'median monthly owner costs (no mortgage)': 0.2067370537958773, 'median gross rent': 0.20130718954248367, 'median asking price for vacant for-sale home/condo': 0.20020110608345904, 'unemployment (%)': 0.19446958270487683, 'Number of Homes': 0.20010055304172952, 'Count of Abnb': 0.20120663650075415, 'Density of Abnb (%)': 0.20341880341880342, 'Average Abnb Price (by zipcode)': 0.1943690296631473, 'Average NumReviews (by zipcode)': 0.20100553041729513, 'Average Rating (by zipcode)': 0.19728506787330316, 'Average Number of Bathrooms (by zipcode)': 0.1991955756661639, 'Average Number of Bedrooms (by zipcode)': 0.20412267471091, 'Average Number of Beds (by zipcode)': 0.2025138260432378, 'Average Number of Guests (by zipcode)': 0.19658119658119658}",
cleanml,Airbnb,0.2,2,OK,True,"{'Bathrooms': 0.20281548516842635, 'Bedrooms': 0.19899446958270486, 'Beds': 0.20271493212669683, 'NumGuests': 0.1959778783308195, 'NumReviews': 0.2016088486676722, 'Price': 0.20211161387631976, 'latitude': 0.19969834087481148, 'longitude': 0.1933634992458522, 'pop2016': 0.2008044243338361, 'pop2010': 0.19889391654097535, 'pop2000': 0.19627953745600804, 'cost_living_index (US avg. = 100)': 0.20281548516842635, 'land_area (sq.mi.)': 0.2040221216691805, 'water_area (sq.mi.)': 0.19969834087481148, 'pop_density (people per mile)': 0.1998994469582705, 'number of males': 0.2024132730015083, 'number of females': 0.19859225741578682, 'prop taxes paid 2016': 0.20180995475113123, 'median taxes (with mortgage': 0.1975867269984917, 'median taxes (no mortgage)': 0.20794369029663148, 'median house value': 0.2067370537958773, 'median houshold income': 0.19959778783308196, 'median monthly owner costs (with mortgage)': 0.1983911513323278, 'median monthly owner costs (no mortgage)': 0.20090497737556562, 'median gross rent': 0.19899446958270486, 'median asking price for vacant for-sale home/condo': 0.19879336349924584, 'unemployment (%)': 0.20311714429361488, 'Number of Homes': 0.19788838612368023, 'Count of Abnb': 0.19487179487179487, 'Density of Abnb (%)': 0.20040221216691806, 'Average Abnb Price (by zipcode)': 0.19567621920563097, 'Average NumReviews (by zipcode)': 0.19829059829059828, 'Average Rating (by zipcode)': 0.20341880341880342, 'Average Number of Bathrooms (by zipcode)': 0.2025138260432378, 'Average Number of Bedrooms (by zipcode)': 0.2071392659627954, 'Average Number of Beds (by zipcode)': 0.19879336349924584, 'Average Number of Guests (by zipcode)': 0.19808949220713926}",
cleanml,Airbnb,0.2,3,OK,True,"{'Bathrooms': 0.20361990950226244, 'Bedrooms': 0.19778783308195072, 'Beds': 0.19497234791352439, 'NumGuests': 0.20311714429361488, 'NumReviews': 0.21216691804927099, 'Price': 0.20341880341880342, 'latitude': 0.20482654600301659, 'longitude': 0.20351935646053293, 'pop2016': 0.19446958270487683, 'pop2010': 0.20633484162895926, 'pop2000': 0.1951734539969834, 'cost_living_index (US avg. = 100)': 0.1895424836601307, 'land_area (sq.mi.)': 0.20221216691804927, 'water_area (sq.mi.)': 0.19567621920563097, 'pop_density (people per mile)': 0.19969834087481148, 'number of males': 0.1984917043740573, 'number of females': 0.19869281045751633, 'prop taxes paid 2016': 0.20281548516842635, 'median taxes (with mortgage': 0.19778783308195072, 'median taxes (no mortgage)': 0.20291603821015586, 'median house value': 0.19829059829059828, 'median houshold income': 0.19738562091503267, 'median monthly owner costs (with mortgage)': 0.19929612870789343, 'median monthly owner costs (no mortgage)': 0.20201106083459025, 'median gross rent': 0.20060331825037708, 'median asking price for vacant for-sale home/condo': 0.19969834087481148, 'unemployment (%)': 0.19406737053795878, 'Number of Homes': 0.20010055304172952, 'Count of Abnb': 0.19859225741578682, 'Density of Abnb (%)': 0.1976872800402212, 'Average Abnb Price (by zipcode)': 0.2024132730015083, 'Average NumReviews (by zipcode)': 0.19648064353946706, 'Average Rating (by zipcode)': 0.2016088486676722, 'Average Number of Bathrooms (by zipcode)': 0.1976872800402212, 'Average Number of Bedrooms (by zipcode)': 0.2, 'Average Number of Beds (by zipcode)': 0.1991955756661639, 'Average Number of Guests (by zipcode)': 0.19959778783308196}",
cleanml,Airbnb,0.25,1,OK,True,"{'Bathrooms': 0.24906988436400201, 'Bedrooms': 0.25610859728506785, 'Beds': 0.24343891402714932, 'NumGuests': 0.24544997486173956, 'NumReviews': 0.2504776269482152, 'Price': 0.2472599296128708, 'latitude': 0.24997486173956762, 'longitude': 0.25279034690799396, 'pop2016': 0.24675716440422324, 'pop2010': 0.2489693313222725, 'pop2000': 0.2521870286576169, 'cost_living_index (US avg. = 100)': 0.24394167923579688, 'land_area (sq.mi.)': 0.24655605832076422, 'water_area (sq.mi.)': 0.25761689291101053, 'pop_density (people per mile)': 0.2450477626948215, 'number of males': 0.2489693313222725, 'number of females': 0.24183006535947713, 'prop taxes paid 2016': 0.2601307189542484, 'median taxes (with mortgage': 0.2507792860734037, 'median taxes (no mortgage)': 0.253192559074912, 'median house value': 0.2563097033685269, 'median houshold income': 0.2520864756158874, 'median monthly owner costs (with mortgage)': 0.25701357466063346, 'median monthly owner costs (no mortgage)': 0.2596279537456008, 'median gross rent': 0.2541980894922071, 'median asking price for vacant for-sale home/condo': 0.25279034690799396, 'unemployment (%)': 0.2497737556561086, 'Number of Homes': 0.24906988436400201, 'Count of Abnb': 0.2540975364504776, 'Density of Abnb (%)': 0.25429864253393664, 'Average Abnb Price (by zipcode)': 0.24906988436400201, 'Average NumReviews (by zipcode)': 0.24705882352941178, 'Average Rating (by zipcode)': 0.2472599296128708, 'Average Number of Bathrooms (by zipcode)': 0.2496732026143791, 'Average Number of Bedrooms (by zipcode)': 0.248868778280543, 'Average Number of Beds (by zipcode)': 0.25258924082453493, 'Average Number of Guests (by zipcode)': 0.24756158873805933}",
cleanml,Airbnb,0.25,2,OK,True,"{'Bathrooms': 0.253192559074912, 'Bedrooms': 0.2506787330316742, 'Beds': 0.2537958773252891, 'NumGuests': 0.24444444444444444, 'NumReviews': 0.24906988436400201, 'Price': 0.25349421820010054, 'latitude': 0.2521870286576169, 'longitude': 0.24122674710910005, 'pop2016': 0.24906988436400201, 'pop2010': 0.2506787330316742, 'pop2000': 0.2498743086978381, 'cost_living_index (US avg. = 100)': 0.2549019607843137, 'land_area (sq.mi.)': 0.24937154348919055, 'water_area (sq.mi.)': 0.2498743086978381, 'pop_density (people per mile)': 0.24675716440422324, 'number of males': 0.2541980894922071, 'number of females': 0.25429864253393664, 'prop taxes paid 2016': 0.2480643539467069, 'median taxes (with mortgage': 0.2471593765711413, 'median taxes (no mortgage)': 0.25530417295123176, 'median house value': 0.25429864253393664, 'median houshold income': 0.2471593765711413, 'median monthly owner costs (with mortgage)': 0.2481649069884364, 'median monthly owner costs (no mortgage)': 0.24655605832076422, 'median gross rent': 0.24746103569632982, 'median asking price for vacant for-sale home/condo': 0.2504776269482152, 'unemployment (%)': 0.2506787330316742, 'Number of Homes': 0.24906988436400201, 'Count of Abnb': 0.248868778280543, 'Density of Abnb (%)': 0.2497737556561086, 'Average Abnb Price (by zipcode)': 0.24233283056812469, 'Average NumReviews (by zipcode)': 0.25289089994972347, 'Average Rating (by zipcode)': 0.253192559074912, 'Average Number of Bathrooms (by zipcode)': 0.25268979386626444, 'Average Number of Bedrooms (by zipcode)': 0.25912518853695327, 'Average Number of Beds (by zipcode)': 0.2507792860734037, 'Average Number of Guests (by zipcode)': 0.24826546003016592}",
cleanml,Airbnb,0.25,3,OK,True,"{'Bathrooms': 0.2558069381598793, 'Bedrooms': 0.24605329311211663, 'Beds': 0.24364002011060834, 'NumGuests': 0.25258924082453493, 'NumReviews': 0.2600301659125189, 'Price': 0.2498743086978381, 'latitude': 0.25449974861739566, 'longitude': 0.25258924082453493, 'pop2016': 0.24665661136249373, 'pop2010': 0.248868778280543, 'pop2000': 0.24695827048768226, 'cost_living_index (US avg. = 100)': 0.2383107088989442, 'land_area (sq.mi.)': 0.2520864756158874, 'water_area (sq.mi.)': 0.24193061840120664, 'pop_density (people per mile)': 0.25188536953242835, 'number of males': 0.2505781799899447, 'number of females': 0.24685771744595275, 'prop taxes paid 2016': 0.2507792860734037, 'median taxes (with mortgage': 0.25198592257415786, 'median taxes (no mortgage)': 0.24917043740573153, 'median house value': 0.24102564102564103, 'median houshold income': 0.248868778280543, 'median monthly owner costs (with mortgage)': 0.25007541478129713, 'median monthly owner costs (no mortgage)': 0.2473604826546003, 'median gross rent': 0.24826546003016592, 'median asking price for vacant for-sale home/condo': 0.25258924082453493, 'unemployment (%)': 0.2471593765711413, 'Number of Homes': 0.25339366515837103, 'Count of Abnb': 0.24283559577677225, 'Density of Abnb (%)': 0.24655605832076422, 'Average Abnb Price (by zipcode)': 0.25108094519859225, 'Average NumReviews (by zipcode)': 0.25188536953242835, 'Average Rating (by zipcode)': 0.2537958773252891, 'Average Number of Bathrooms (by zipcode)': 0.25027652086475616, 'Average Number of Bedrooms (by zipcode)': 0.2514831573655103, 'Average Number of Beds (by zipcode)': 0.25027652086475616, 'Average Number of Guests (by zipcode)': 0.2513826043237808}",
cleanml,EEG,0.05,1,OK,True,"{'AF3': 0.05272525027808676, 'F7': 0.04671857619577308, 'F3': 0.053615127919911014, 'FC5': 0.04961067853170189, 'T7': 0.05161290322580645, 'P7': 0.046273637374860954, 'O1': 0.05339265850945495, 'O2': 0.054727474972191326, 'P8': 0.04560622914349277, 'T8': 0.04872080088987764, 'FC6': 0.04961067853170189, 'F4': 0.05116796440489433, 'F8': 0.0507230255839822, 'AF4': 0.048053392658509456}",
cleanml,EEG,0.05,2,OK,True,"{'AF3': 0.04560622914349277, 'F7': 0.05094549499443826, 'F3': 0.0525027808676307, 'FC5': 0.04338153503893215, 'T7': 0.048053392658509456, 'P7': 0.05183537263626251, 'O1': 0.04538375973303671, 'O2': 0.047830923248053395, 'P8': 0.048943270300333706, 'T8': 0.05850945494994438, 'FC6': 0.05161290322580645, 'F4': 0.054505005561735265, 'F8': 0.054060066740823136, 'AF4': 0.053615127919911014}",
cleanml,EEG,0.05,3,OK,True,"{'AF3': 0.0560622914349277, 'F7': 0.05695216907675195, 'F3': 0.04671857619577308, 'FC5': 0.05205784204671857, 'T7': 0.04827586206896552, 'P7': 0.05094549499443826, 'O1': 0.054060066740823136, 'O2': 0.04938820912124583, 'P8': 0.05205784204671857, 'T8': 0.05205784204671857, 'FC6': 0.05116796440489433, 'F4': 0.053615127919911014, 'F8': 0.05139043381535039, 'AF4': 0.05094549499443826}",
cleanml,EEG,0.1,1,OK,True,"{'AF3': 0.1021134593993326, 'F7': 0.09899888765294772, 'F3': 0.10522803114571747, 'FC5': 0.10389321468298109, 'T7': 0.0967741935483871, 'P7': 0.09454949944382647, 'O1': 0.09922135706340378, 'O2': 0.0996662958843159, 'P8': 0.0996662958843159, 'T8': 0.10767519466073415, 'FC6': 0.10344827586206896, 'F4': 0.09254727474972191, 'F8': 0.10233592880978866, 'AF4': 0.09899888765294772}",
cleanml,EEG,0.1,2,OK,True,"{'AF3': 0.09632925472747497, 'F7': 0.11234705228031146, 'F3': 0.10945494994438265, 'FC5': 0.10255839822024472, 'T7': 0.10589543937708565, 'P7': 0.09388209121245829, 'O1': 0.09810901001112347, 'O2': 0.10255839822024472, 'P8': 0.1021134593993326, 'T8': 0.10233592880978866, 'FC6': 0.0996662958843159, 'F4': 0.10478309232480534, 'F8': 0.09744160177975528, 'AF4': 0.10611790878754171}",
cleanml,EEG,0.1,3,OK,True,"{'AF3': 0.11256952169076752, 'F7': 0.10789766407119021, 'F3': 0.09788654060066741, 'FC5': 0.09499443826473859, 'T7': 0.09721913236929922, 'P7': 0.09810901001112347, 'O1': 0.10367074527252503, 'O2': 0.1032258064516129, 'P8': 0.11523915461624026, 'T8': 0.10389321468298109, 'FC6': 0.10166852057842046, 'F4': 0.1050055617352614, 'F8': 0.10300333704115684, 'AF4': 0.10011123470522804}",
